Date,Restaurant_ID,Restaurant_Name,Product_ID,Product,Category,Opening_Stock,Units_Received,Customer_Demand,Units_Sold,Lost_Sales,Waste_Units,Closing_Stock,Supplier_Lead_Time_Days,Unit_Cost_EUR,Selling_Price_EUR,Revenue_EUR,Temperature_C,Day_of_Week,Is_Weekend,Promotion,Safety_Stock,Recommended_Order,Autonomous_Decision,Waste_Cost_EUR,ESG_Waste_Rate_Pct,Service_Level_Pct
2026-01-01,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,73,164,44,44,0,7,186,3,4.2,9.5,418.0,1.3,Thursday,0,0,12,0,No Action,29.4,13.73,100.0
2026-01-01,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,57,193,60,60,0,11,179,2,1.1,3.2,192.0,1.3,Thursday,0,0,16,0,No Action,12.1,15.49,100.0
2026-01-01,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,86,344,78,78,0,5,347,4,0.8,2.8,218.4,1.3,Thursday,0,0,18,0,No Action,4.0,6.02,100.0
2026-01-01,REST001,GreenBite Kitchen,P004,Milk,Dairy,55,120,59,59,0,6,110,2,1.0,2.4,141.6,1.3,Thursday,0,1,10,0,No Action,6.0,9.23,100.0
2026-01-01,REST001,GreenBite Kitchen,P005,Cheese,Dairy,88,0,35,35,0,3,50,3,2.8,6.5,227.5,1.3,Thursday,0,0,8,19,Auto-Order,8.4,7.89,100.0
2026-01-01,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,97,132,65,65,0,8,156,2,0.7,2.5,162.5,1.3,Thursday,0,0,14,0,No Action,5.6,10.96,100.0
2026-01-01,REST001,GreenBite Kitchen,P007,Bread,Bakery,75,0,48,48,0,3,24,1,1.2,3.0,144.0,1.3,Thursday,0,0,12,48,Auto-Order,3.6,5.88,100.0
2026-01-01,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,67,0,29,29,0,4,34,2,6.5,14.5,420.5,1.3,Thursday,0,1,6,10,Auto-Order,26.0,12.12,100.0
2026-01-01,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,84,0,29,29,0,3,52,2,1.5,4.2,121.8,1.3,Thursday,0,0,7,1,Auto-Order,4.5,9.38,100.0
2026-01-01,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,86,242,57,57,0,3,268,4,0.9,3.0,171.0,1.3,Thursday,0,0,14,0,No Action,2.7,5.0,100.0
2026-01-02,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,186,0,51,51,0,6,129,3,4.2,9.5,484.5,-1.3,Friday,0,0,12,0,No Action,25.2,10.53,100.0
2026-01-02,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,179,0,67,67,0,9,103,2,1.1,3.2,214.4,-1.3,Friday,0,0,16,28,Auto-Order,9.9,11.84,100.0
2026-01-02,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,347,0,65,65,0,2,280,4,0.8,2.8,182.0,-1.3,Friday,0,0,18,0,No Action,1.6,2.99,100.0
2026-01-02,REST001,GreenBite Kitchen,P004,Milk,Dairy,110,0,42,42,0,4,64,2,1.0,2.4,100.8,-1.3,Friday,0,0,10,24,Auto-Order,4.0,8.7,100.0
2026-01-02,REST001,GreenBite Kitchen,P005,Cheese,Dairy,50,111,31,31,0,5,125,3,2.8,6.5,201.5,-1.3,Friday,0,0,8,0,No Action,14.0,13.89,100.0
2026-01-02,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,156,0,60,60,0,5,91,2,0.7,2.5,150.0,-1.3,Friday,0,0,14,30,Auto-Order,3.5,7.69,100.0
2026-01-02,REST001,GreenBite Kitchen,P007,Bread,Bakery,24,113,46,46,0,8,83,1,1.2,3.0,138.0,-1.3,Friday,0,0,12,0,No Action,9.6,14.81,100.0
2026-01-02,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,34,61,26,26,0,3,66,2,6.5,14.5,377.0,-1.3,Friday,0,0,6,0,No Action,19.5,10.34,100.0
2026-01-02,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,52,70,28,28,0,5,89,2,1.5,4.2,117.6,-1.3,Friday,0,0,7,0,No Action,7.5,15.15,100.0
2026-01-02,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,268,0,54,54,0,3,211,4,0.9,3.0,162.0,-1.3,Friday,0,0,14,0,No Action,2.7,5.26,100.0
2026-01-03,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,129,113,58,58,0,9,175,3,4.2,9.5,551.0,-1.4,Saturday,1,0,12,0,No Action,37.8,13.43,100.0
2026-01-03,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,103,141,72,72,0,13,159,2,1.1,3.2,230.4,-1.4,Saturday,1,0,16,0,No Action,14.3,15.29,100.0
2026-01-03,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,280,0,87,87,0,3,190,4,0.8,2.8,243.6,-1.4,Saturday,1,0,18,0,No Action,2.4,3.33,100.0
2026-01-03,REST001,GreenBite Kitchen,P004,Milk,Dairy,64,100,46,46,0,8,110,2,1.0,2.4,110.4,-1.4,Saturday,1,0,10,0,No Action,8.0,14.81,100.0
2026-01-03,REST001,GreenBite Kitchen,P005,Cheese,Dairy,125,0,44,44,0,4,77,3,2.8,6.5,286.0,-1.4,Saturday,1,0,8,1,Auto-Order,11.2,8.33,100.0
2026-01-03,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,91,145,77,77,0,8,151,2,0.7,2.5,192.5,-1.4,Saturday,1,0,14,0,No Action,5.6,9.41,100.0
2026-01-03,REST001,GreenBite Kitchen,P007,Bread,Bakery,83,0,54,54,0,5,24,1,1.2,3.0,162.0,-1.4,Saturday,1,0,12,57,Manager Review,6.0,8.47,100.0
2026-01-03,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,66,0,29,29,0,5,32,2,6.5,14.5,420.5,-1.4,Saturday,1,0,6,19,Auto-Order,32.5,14.71,100.0
2026-01-03,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,89,0,34,34,0,5,50,2,1.5,4.2,142.8,-1.4,Saturday,1,0,7,11,Auto-Order,7.5,12.82,100.0
2026-01-03,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,211,0,65,65,0,2,144,4,0.9,3.0,195.0,-1.4,Saturday,1,0,14,0,No Action,1.8,2.99,100.0
2026-01-04,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,175,0,56,56,0,5,114,3,4.2,9.5,532.0,-1.5,Sunday,1,0,12,0,No Action,21.0,8.2,100.0
